italian,english
idMisuraPrimaria,Primary Measure ID
idAnimale,Animal ID
codiceIstat,Region Code
siglaProvincia,Province Code
codiceSpecieAIA,Species Code
codiceRazzaAIA,Breed Code
giorno,Day
mese,Month
anno,Year
DataNascita,Date Of Birth
MatricolaSoggetto,Tag ID
RazzaSoggetto,Breed Code
SessoSoggetto,Sex
RazzaMadreGenetica,Dam Breed
RazzaPadre,Sire Breed
Specie,Species Code2
NomeSoggetto,Subject Name
DenominazioneTipoGeneticoIbrido,Hybrid Genetic Type Designation
DataApplicazioneMarca,Brand Application Date
NatoDaEmbriotransfer,Born from Embryo Transfer
TipoOrigine,Origin Type
StatoDelCapo,Head Status
BreedName, Breed
